tmp.dat.subject.1.,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38
306.csv,5,3,6,6,2,3,6,5,6,6,6,6,6,6,6,6,6,6,6,3,7,3,1,7,5,2,6,5,3,2,2,2,6,6,6,6,6,6
307.csv,7,5,6,6,5,5,6,4,5,7,6,6,6,6,7,6,6,5,5,4,5,5,4,6,2,5,6,6,6,6,6,5,6,7,7,5,6,6
308.csv,6,2,7,7,5,7,6,6,3,6,6,7,7,7,7,7,4,6,7,7,7,6,3,7,5,5,6,5,4,3,6,4,7,7,7,5,7,7
309.csv,3,3,6,5,2,5,6,5,4,7,6,6,6,7,7,7,7,6,6,6,7,3,6,7,3,7,6,7,6,6,5,3,6,7,6,6,6,7
310C.csv,7,6,7,6,5,6,6,5,2,5,6,6,6,5,7,6,6,6,6,6,7,5,4,6,3,3,7,6,6,5,6,3,7,6,6,6,5,6
311.csv,6,6,7,7,2,7,6,7,4,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,4,7,7,7,7,7,7,7,6,7,7,7,7,7
312.csv,7,4,6,7,7,6,6,7,5,7,6,7,7,6,7,7,7,6,7,7,7,6,7,7,5,1,6,7,7,7,6,3,7,7,7,6,5,7
313C.csv,6,6,6,6,6,5,6,7,6,7,7,6,6,6,7,7,6,6,7,7,6,6,6,7,3,6,6,7,7,5,7,5,6,7,6,7,6,7
314.csv,5,4,7,7,7,5,5,7,3,7,7,6,7,6,7,7,7,6,6,7,7,6,7,7,3,6,7,7,7,6,6,5,6,6,7,6,6,6
315.csv,5,4,5,6,3,7,7,6,6,7,7,6,6,7,7,7,6,6,7,6,7,5,7,6,3,6,7,6,6,5,6,4,6,7,7,6,7,7
316.csv,7,5,7,6,6,7,5,7,7,5,7,5,6,7,7,6,5,5,7,7,6,6,6,6,6,4,6,5,3,6,5,2,6,7,7,7,6,7
317.csv,6,4,6,7,5,7,6,3,3,6,7,5,7,6,7,5,7,6,6,7,5,6,1,5,7,4,7,5,2,3,5,3,7,7,6,6,6,6
318C.csv,7,6,7,7,6,7,7,6,4,7,6,7,7,7,6,6,6,6,7,7,6,5,4,6,6,5,7,7,6,3,6,5,7,7,6,6,7,7
319.csv,7,4,7,7,5,6,6,4,1,7,7,6,7,5,7,6,6,5,6,7,7,6,6,5,3,5,7,6,3,2,5,5,7,7,7,6,7,6
32.csv,4,2,5,5,2,5,5,3,3,6,6,5,5,5,5,6,5,5,3,6,3,5,3,4,1,5,6,4,6,4,5,3,3,6,6,4,5,6
320.csv,6,5,6,6,5,7,6,5,3,6,6,6,6,6,7,6,6,6,6,7,7,6,7,7,4,3,7,6,6,6,6,4,6,7,6,7,6,6
321.csv,6,5,6,7,6,7,6,7,2,6,7,7,7,6,7,7,6,6,7,7,7,6,6,5,4,6,6,6,5,3,5,2,7,7,7,6,7,6
322C.csv,7,6,7,7,4,6,5,5,7,4,6,4,6,5,6,6,6,5,2,7,6,6,3,3,4,5,7,5,4,6,6,3,6,6,7,6,4,7
323.csv,6,4,5,5,2,6,6,2,4,7,6,6,6,6,6,6,6,3,7,7,7,5,7,6,6,5,7,6,5,6,5,5,4,6,6,5,6,6
324C.csv,6,6,6,6,6,6,6,7,5,4,7,6,6,6,7,5,4,6,7,6,6,6,1,6,3,6,5,4,5,2,6,3,6,6,7,6,6,7
325C.csv,5,1,4,3,2,6,5,1,3,7,7,6,6,6,7,5,5,5,7,7,7,5,7,7,5,3,6,1,5,1,3,1,6,7,5,4,5,6
326M.csv,7,6,7,7,1,7,7,5,7,6,7,6,7,7,7,6,6,7,7,7,7,7,3,7,4,7,7,7,7,5,7,5,6,7,7,7,7,7
327C.csv,7,5,7,7,3,6,6,2,5,7,6,7,7,4,7,7,7,7,6,7,6,6,6,5,7,7,7,7,7,6,6,6,6,6,6,6,7,6
328C.csv,7,4,7,7,4,7,4,7,3,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,6,7,7,7,7,2,6,3,7,7,7,6,7,7
329.csv,6,5,6,5,4,7,6,4,6,7,7,6,6,5,6,6,5,6,7,6,6,5,7,6,4,5,6,6,2,5,7,5,7,7,6,5,6,6
331.csv,7,4,7,7,7,7,4,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,1,6,4,1,7,4,4,1,4,4,7,7,7,7,7,7
332.csv,6,2,6,5,2,6,5,6,3,7,6,6,7,5,5,7,6,4,7,7,7,5,6,7,4,4,6,7,7,7,5,2,6,6,7,6,7,7
333.csv,7,6,7,7,6,7,6,7,4,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,3,6,7,6,6,6,6,6,7,7,7,6,7,7
334.csv,7,4,5,7,5,7,7,2,6,6,7,7,7,6,7,7,7,6,7,7,7,5,4,5,3,4,6,7,6,3,1,1,5,7,7,7,7,7
335.csv,7,2,4,6,7,7,5,5,4,6,5,6,6,6,6,7,6,5,7,7,7,5,7,7,5,6,7,5,6,3,6,4,6,7,6,5,5,7
336.csv,7,4,7,6,4,7,6,1,4,7,6,7,7,4,7,7,7,7,7,7,6,3,1,3,3,5,7,7,7,7,4,4,7,7,7,6,6,7
337.csv,7,5,7,6,6,7,6,5,5,7,7,7,7,7,7,7,6,3,7,7,7,6,7,7,4,7,6,6,7,3,7,5,6,7,7,6,7,7
338.csv,7,3,6,6,4,6,5,7,3,6,5,6,6,6,6,6,6,6,7,7,6,6,5,6,3,3,7,7,6,6,6,5,6,7,6,5,5,7
339C.csv,7,5,5,7,5,7,6,2,4,3,5,3,6,3,5,3,2,5,7,3,6,3,6,6,6,2,3,5,5,1,5,2,7,6,5,5,7,7
33C.csv,4,3,6,5,4,3,3,3,4,6,6,7,6,5,7,6,5,5,6,5,6,6,6,6,2,5,6,6,5,5,6,3,5,6,6,6,6,6
